                Time          Cycles PC       Instr    Mnemonic
               94500              79 1c000080 0180006f jal              x0, 24             
             2394500            2379 1c0000d0 8c410113 addi             x2, x2, -1852        x2=10000990  x2:100010cc
             2395500            2380 1c0000d4 3a1000ef jal              x1, 2976             x1=1c0000d8
             2410500            2395 1c000c74 fe010113 addi             x2, x2, -32          x2=10000970  x2:10000990
             2411500            2396 1c000c76 00112e23 sw               x1, 28(x2)           x1:1c0000d8  x2:10000970  PA:1000098c
             2412500            2397 1c000c78 00812c23 sw               x8, 24(x2)           x8:00000000  x2:10000970  PA:10000988
             2413500            2398 1c000c7a 00912a23 sw               x9, 20(x2)           x9:00000000  x2:10000970  PA:10000984
             2414500            2399 1c000c7c 02010413 addi             x8, x2, 32           x8=10000990  x2:10000970
             2415500            2400 1c000c7e 01212823 sw               x18, 16(x2)         x18:00000000  x2:10000970  PA:10000980
             2428500            2413 1c000c80 01312623 sw               x19, 12(x2)         x19:00000000  x2:10000970  PA:1000097c
             2429500            2414 1c000c82 01412423 sw               x20, 8(x2)          x20:00000000  x2:10000970  PA:10000978
             2430500            2415 1c000c84 1b2017b7 lui              x15, 0x1b201000     x15=1b201000
             2431500            2416 1c000c88 fff00713 addi             x14, x0, -1         x14=ffffffff
             2432500            2417 1c000c8a 40e7a023 sw               x14, 1024(x15)      x14:ffffffff x15:1b201000  PA:1b201400
             2450500            2435 1c000c8e 100004b7 lui              x9, 0x10000000       x9=10000000
             2451500            2436 1c000c92 156000ef jal              x1, 342              x1=1c000c94
             2526500            2511 1c000de8 1b2047b7 lui              x15, 0x1b204000     x15=1b204000
             2527500            2512 1c000dec fff00713 addi             x14, x0, -1         x14=ffffffff
             2528500            2513 1c000dee 00e7a823 sw               x14, 16(x15)        x14:ffffffff x15:1b204000  PA:1b204010
             2544500            2529 1c000df0 1c0007b7 lui              x15, 0x1c000000     x15=1c000000
             2545500            2530 1c000df4 1b200737 lui              x14, 0x1b200000     x14=1b200000
             2546500            2531 1c000df8 00078793 addi             x15, x15, 0         x15=1c000000 x15:1c000000
             2547500            2532 1c000dfc 04f72023 sw               x15, 64(x14)        x15:1c000000 x14:1b200000  PA:1b200040
             2551500            2536 1c000dfe 00008067 jalr             x0, x1, 0            x1:1c000c94
             2581500            2566 1c000c94 16848493 addi             x9, x9, 360          x9=10000168  x9:10000000
             2582500            2567 1c000c98 1d6000ef jal              x1, 470              x1=1c000c9a
             2617500            2602 1c000e6e 100007b7 lui              x15, 0x10000000     x15=10000000
             2618500            2603 1c000e72 05878793 addi             x15, x15, 88        x15=10000058 x15:10000000
             2619500            2604 1c000e76 0007a023 sw               x0, 0(x15)          x15:10000058  PA:10000058
             2620500            2605 1c000e7a 0007a223 sw               x0, 4(x15)          x15:10000058  PA:1000005c
             2637500            2622 1c000e7e 0007a423 sw               x0, 8(x15)          x15:10000058  PA:10000060
             2638500            2623 1c000e82 0007a623 sw               x0, 12(x15)         x15:10000058  PA:10000064
             2639500            2624 1c000e86 0007a823 sw               x0, 16(x15)         x15:10000058  PA:10000068
             2640500            2625 1c000e8a 0007aa23 sw               x0, 20(x15)         x15:10000058  PA:1000006c
             2641500            2626 1c000e8e 00008067 jalr             x0, x1, 0            x1:1c000c9a
             2659500            2644 1c000c9a 5d0000ef jal              x1, 1488             x1=1c000c9c
             2677500            2662 1c00126a ff010113 addi             x2, x2, -16          x2=10000960  x2:10000970
             2678500            2663 1c00126c 00812423 sw               x8, 8(x2)            x8:10000990  x2:10000960  PA:10000968
             2695500            2680 1c00126e 002ce437 lui              x8, 0x2ce000         x8=002ce000
             2696500            2681 1c001272 94c40413 addi             x8, x8, -1716        x8=002cd94c  x8:002ce000
             2697500            2682 1c001276 00912223 sw               x9, 4(x2)            x9:10000168  x2:10000960  PA:10000964
             2698500            2683 1c001278 1c002537 lui              x10, 0x1c002000     x10=1c002000
             2699500            2684 1c00127c 1c0024b7 lui              x9, 0x1c002000       x9=1c002000
             2716500            2701 1c001280 00800633 add              x12, x0, x8         x12=002cd94c  x8:002cd94c
             2717500            2702 1c001282 6b448593 addi             x11, x9, 1716       x11=1c0026b4  x9:1c002000
             2718500            2703 1c001286 6a050513 addi             x10, x10, 1696      x10=1c0026a0 x10:1c002000
             2719500            2704 1c00128a 00112623 sw               x1, 12(x2)           x1:1c000c9c  x2:10000960  PA:1000096c
             2720500            2705 1c00128c ea7ff0ef jal              x1, -346             x1=1c00128e
             2754500            2739 1c001132 00758793 addi             x15, x11, 7         x15=1c0026bb x11:1c0026b4
             2755500            2740 1c001136 c407b7b3 p.bclr           x15, x15, 2, 0      x15=1c0026b8 x15:1c0026bb
             2756500            2741 1c00113a 40b785b3 sub              x11, x15, x11       x11=00000004 x15:1c0026b8 x11:1c0026b4
             2757500            2742 1c00113e 00f52023 sw               x15, 0(x10)         x15:1c0026b8 x10:1c0026a0  PA:1c0026a0
             2776500            2761 1c001140 40b60633 sub              x12, x12, x11       x12=002cd948 x12:002cd94c x11:00000004
